Index,Name,Emergency,2p0E34+ZeroBias+HLTPhysics,2p0E34+ZeroBias,2p0E34+HLTPhysics,2p0E34,2p0E34_NoAXO,1p8E34,1p8E34+ZeroBias,1p8E34+ZeroBias+HLTPhysics,1p8E34+HLTPhysics,1p8E34_NoAXO,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoMuShower
63,L1_DoubleMu_12_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,L1_DoubleMu_15_5_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,L1_DoubleMu_15_7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,L1_DoubleMu_15_7_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,L1_DoubleMu_15_7_Mass_Min1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,L1_DoubleMu18er2p1_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,L1_DoubleMu0_Upt5_Upt5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,L1_DoubleMu0_Upt6_SQ_er2p0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,L1_DoubleMu0_Upt7_SQ_er2p0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,L1_DoubleMu0_Upt8_SQ_er2p0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,L1_DoubleMu0_Upt6_IP_Min1_Upt4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,L1_DoubleMu0_Upt15_Upt7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,L1_DoubleMu0er2p0_SQ_dEta_Max1p6,0,380,380,380,380,380,380,380,380,380,380,380,380,380,380
76,L1_DoubleMu0er2p0_SQ_dEta_Max1p5,0,380,380,380,380,380,380,380,380,380,380,380,380,380,380
77,L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p6,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
78,L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5,0,100,100,100,100,100,100,100,100,100,100,1,1,100,100
79,L1_DoubleMu0er1p5_SQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,L1_DoubleMu0er1p5_SQ_OS,0,900,900,900,900,900,900,900,900,900,900,900,900,900,900
81,L1_DoubleMu0er1p5_SQ_dR_Max1p4,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
82,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
83,L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
86,L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,L1_DoubleMu0er2p0_SQ_OS_dEta_Max0p3_dPhi_0p8to1p2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
89,L1_DoubleMu4_SQ_OS,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
90,L1_DoubleMu4_SQ_OS_dR_Max1p2,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
91,L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,L1_DoubleMu4p5_SQ_OS,0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
93,L1_DoubleMu4p5_SQ_OS_dR_Max1p2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,L1_DoubleMu4p5er2p0_SQ_OS,0,160,160,160,160,160,160,160,160,160,160,160,160,160,160
95,L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,L1_DoubleMu5_SQ_OS_dR_Max1p6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,L1_TripleMu0_OQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,L1_TripleMu0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,L1_TripleMu0_SQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,L1_TripleMu3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,L1_TripleMu3_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,L1_TripleMu_3SQ_2p5SQ_0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200
104,L1_TripleMu_3SQ_2p5SQ_0_Mass_Max12,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40
105,L1_TripleMu_5SQ_3SQ_0OQ,0,70,70,70,70,70,70,70,70,70,70,70,70,70,70
