Index,Name,Emergency,FullZB,MB_UPC_33kHzZB,MB_UPC_22kHzZB,MB_UPC_11kHzZB,MB_UPC_1kHzZB,MB_33kHzZB,MB_22kHzZB,MB_11kHzZB,MB_1kHzZB,Random_10kHzZB,MB_UPC
80,L1_SingleJet120,0,0,0,0,0,0,0,0,0,0,0,0
81,L1_SingleJet120_FWD3p0,0,0,0,0,0,0,0,0,0,0,0,0
82,L1_SingleJet120er2p5,0,0,0,0,0,0,0,0,0,0,0,0
83,L1_SingleJet200,0,0,0,0,0,0,0,0,0,0,0,0
84,L1_SingleJet35,0,0,0,0,0,0,0,0,0,0,0,0
85,L1_SingleJet35_FWD3p0,0,0,0,0,0,0,0,0,0,0,0,0
86,L1_SingleJet35er2p5,0,0,0,0,0,0,0,0,0,0,0,0
87,L1_SingleJet60,0,0,0,0,0,0,0,0,0,0,0,0
88,L1_SingleJet90,0,0,0,0,0,0,0,0,0,0,0,0
89,L1_SingleMu0_BMTF,0,0,0,0,0,0,0,0,0,0,0,0
90,L1_SingleMu0_DQ,0,0,0,0,0,0,0,0,0,0,0,0
91,L1_SingleMu0_EMTF,0,0,0,0,0,0,0,0,0,0,0,0
92,L1_SingleMu0_OMTF,0,0,0,0,0,0,0,0,0,0,0,0
93,L1_SingleMu22,0,0,0,0,0,0,0,0,0,0,0,0
94,L1_SingleMu22_BMTF,0,0,0,0,0,0,0,0,0,0,0,0
95,L1_SingleMu22_EMTF,0,0,0,0,0,0,0,0,0,0,0,0
96,L1_SingleMu22_OMTF,0,0,0,0,0,0,0,0,0,0,0,0
97,L1_SingleMuCosmics,0,0,0,0,0,0,0,0,0,0,0,0
98,L1_SingleMuCosmics_BMTF,0,0,0,0,0,0,0,0,0,0,0,0
99,L1_SingleMuCosmics_EMTF,0,0,0,0,0,0,0,0,0,0,0,0
100,L1_SingleMuCosmics_OMTF,0,0,0,0,0,0,0,0,0,0,0,0
101,L1_UnpairedBunchBptxMinus,0,2699,2699,2699,2699,2699,2699,2699,2699,2699,0,2699
102,L1_UnpairedBunchBptxPlus,0,2699,2699,2699,2699,2699,2699,2699,2699,2699,0,2699
107,L1_ZeroBias,8243,1,1,1.5,3,31,1,1.5,3,31,3.3,0
154,L1_MinimumBiasHF1_AND_BptxAND,0,1,1,1,1,1,1,1,1,1,0,1
155,L1_MinimumBiasHF1_OR_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
164,L1_MinimumBiasHF2_AND_BptxAND,0,0,1,1,1,1,1,1,1,1,0,1
165,L1_MinimumBiasHF2_OR_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
180,L1_SingleMuOpen_BptxAND,0,1,1,1,1,1,1,1,1,1,0,1
181,L1_SingleMu0_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
182,L1_SingleMu3_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
183,L1_SingleMu5_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
184,L1_SingleMu7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
185,L1_SingleMu3Open_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
190,L1_SingleMuCosmic_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
191,L1_SingleMuCosmic_NotMinimumBiasHF2_OR_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
192,L1_DoubleMuCosmic_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
193,L1_SingleMuOpen_NotMinimumBiasHF2_OR_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
