Index,Name,Emergency,2.2E+34,2E+34,1.7E+34,1.5E+34,1.3E+34,1.1E+34,9E+33,6E+33
126,L1_FirstCollisionInTrain,0,269167,269167,269167,269167,269167,269167,269167,269167
127,L1_FirstCollisionInOrbit,0,1103,1103,1103,1103,1103,1103,1103,1103
128,L1_FirstCollisionInOrbit_Centrality30_100_BptxAND,0,1,1,1,1,1,1,1,1
129,L1_BPTX_NotOR_VME,0,0,0,0,0,0,0,0,0
130,L1_BPTX_OR_Ref3_VME,0,0,0,0,0,0,0,0,0
131,L1_BPTX_OR_Ref4_VME,0,0,0,0,0,0,0,0,0
132,L1_BPTX_RefAND_VME,0,0,0,0,0,0,0,0,0
133,L1_BPTX_AND_Ref1_VME,0,0,0,0,0,0,0,0,0
134,L1_BPTX_AND_Ref3_VME,0,0,0,0,0,0,0,0,0
135,L1_BPTX_AND_Ref4_VME,0,0,0,0,0,0,0,0,0
136,L1_BPTX_BeamGas_Ref1_VME,0,0,0,0,0,0,0,0,0
137,L1_BPTX_BeamGas_Ref2_VME,0,0,0,0,0,0,0,0,0
138,L1_BPTX_BeamGas_B1_VME,0,0,0,0,0,0,0,0,0
139,L1_BPTX_BeamGas_B2_VME,0,0,0,0,0,0,0,0,0
140,L1_MinimumBiasHF0_AND_BptxAND,0,0,0,0,0,0,0,0,0
141,L1_NotMinimumBiasHF0_AND_BptxAND,0,1,1,1,1,1,1,1,1
142,L1_NotMinimumBiasHF0_OR_BptxAND,0,1,1,1,1,1,1,1,1
143,L1_MinimumBiasHF0_OR_BptxAND,0,1,1,1,1,1,1,1,1
145,L1_NotMinimumBiasHF0_AND_BptxAND_TOTEM_1,0,1,1,1,1,1,1,1,1
146,L1_NotMinimumBiasHF0_AND_BptxAND_TOTEM_2,0,1,1,1,1,1,1,1,1
147,L1_NotMinimumBiasHF0_AND_BptxAND_TOTEM_4,0,1,1,1,1,1,1,1,1
148,L1_NotMinimumBiasHF0_OR_BptxAND_TOTEM_1,0,1,1,1,1,1,1,1,1
149,L1_NotMinimumBiasHF0_OR_BptxAND_TOTEM_2,0,1,1,1,1,1,1,1,1
150,L1_NotMinimumBiasHF0_OR_BptxAND_TOTEM_4,0,1,1,1,1,1,1,1,1
152,L1_MinimumBiasHF1_AND,0,1,1,1,1,1,1,1,1
153,L1_MinimumBiasHF1_OR,0,1,1,1,1,1,1,1,1
154,L1_MinimumBiasHF1_AND_BptxAND,0,1,1,1,1,1,1,1,1
155,L1_MinimumBiasHF1_OR_BptxAND,0,1,1,1,1,1,1,1,1
156,L1_MinimumBiasHF1_XOR_BptxAND,0,1,1,1,1,1,1,1,1
157,L1_MinimumBiasHF1_AND_OR_ETT10_BptxAND,0,1,1,1,1,1,1,1,1
158,L1_NotMinimumBiasHF1_AND,0,1,1,1,1,1,1,1,1
159,L1_NotMinimumBiasHF1_OR,0,1,1,1,1,1,1,1,1
160,L1_NotMinimumBiasHF1_OR_BptxAND,0,1,1,1,1,1,1,1,1
162,L1_MinimumBiasHF2_AND,0,1,1,1,1,1,1,1,1
163,L1_MinimumBiasHF2_OR,0,1,1,1,1,1,1,1,1
164,L1_MinimumBiasHF2_AND_BptxAND,0,1,1,1,1,1,1,1,1
165,L1_MinimumBiasHF2_OR_BptxAND,0,1,1,1,1,1,1,1,1
166,L1_NotMinimumBiasHF2_AND,0,1,1,1,1,1,1,1,1
167,L1_NotMinimumBiasHF2_AND_BptxAND,0,1,1,1,1,1,1,1,1
169,L1_NotMinimumBiasHF2_OR,0,1,1,1,1,1,1,1,1
170,L1_NotMinimumBiasHF2_OR_BptxAND,0,1,1,1,1,1,1,1,1
172,L1_Centrality_30_100,0,1,1,1,1,1,1,1,1
173,L1_Centrality_50_100,0,1,1,1,1,1,1,1,1
174,L1_Centrality_20_100_MinimumBiasHF1_AND_BptxAND,0,1,1,1,1,1,1,1,1
175,L1_Centrality_30_100_MinimumBiasHF1_AND_BptxAND,0,1,1,1,1,1,1,1,1
176,L1_Centrality_Saturation,0,1,1,1,1,1,1,1,1
180,L1_SingleMuOpen_BptxAND,0,1,1,1,1,1,1,1,1
181,L1_SingleMu0_BptxAND,0,1,1,1,1,1,1,1,1
182,L1_SingleMu3_BptxAND,0,1,1,1,1,1,1,1,1
183,L1_SingleMu5_BptxAND,0,1,1,1,1,1,1,1,1
184,L1_SingleMu7_BptxAND,0,1,1,1,1,1,1,1,1
185,L1_SingleMu12_BptxAND,0,1,1,1,1,1,1,1,1
186,L1_SingleMu16_BptxAND,0,1,1,1,1,1,1,1,1
189,L1_SingleMuOpen_Centrality_70_100_BptxAND,0,1,1,1,1,1,1,1,1
